１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
１１２．上手（じょうず）かれはえいごがじょうずだ       彼女は料理が上手     かれはおよぎが上手
１１３．じゃ          じゃ　またね                  じゃ　いこう          じゃ　はじめましょう
１１４．まだ          まだ寝ています（ねています）  まだたべていません      まだきません
１１５．はい          はい、わかりました       はい　そうです         はい、いいです
１１６．できる         にほんごができる        りょうりができる        およぐことができる
１１７．ほか          ほかのひとは？          これとほかに何？        ほかのばしょへ行く
１１８．ちょっと       ちょっとまって          ちょっとみて          ちょっと飲む
１１９．でも          あめがふっている、でもいく   つかれた、でも勉強する     たかい、でもかう
１２０．いみ          これはなんのいみ？       いみが分からない        かれのことばのいみは？
１２１．言う（いう）    せんせいがいいます     　かれはなにも言いません（いいません） 　わたしはありがとう言います
１２２．だんだん        だんだん暖かくなる（あたたかくなる）  だんだんわかる     だんだん速く走る（はやくはしる）
１２３．もういちど      もう一度いってください     もういちどやります        もういちど考えてみる（かんがえてみる）
１２４．頼む（たのむ）   みずを頼む               助けを頼む             　しごとを頼む
１２５．よく          よく勉強します             かれはよくたべます       よくねました
１２６．いい          いい天気ですね            このほんはいいです        かれはいい人です
１２７．新しい         あたらしいくるまがほしい    新しいいえに引っ越す（ひっこす）    あたらしいくつをかう
１２８．少し（すこし） 　すこしまってください       少し寒いです            少し食べます
１２９．閉める（しめる） ドアを閉めてください（しめてください）　まどをしめる   ほんをしめる
１３０．浴びる（あびる） まいにちシャワーをあびる　　なつにプールであびる      朝に水をあびる
１３１．着る（きる）  シャワーをきる     ズボンをきる      くつしたを着る
１３２．洗う（あらう） てをあらう        顔を洗う（かおをあらう）      さらを洗う
１３３．マッチ     マッチを使う         マッチを買う           マッチがない
１３４．出かける（でかける）  いま　でかける 　かれは出かける      でかけるまえに電話して
１３５．休む（やすむ）     きょうはやすみます   週末に休みます     疲れたから休む
１３６．休み（やすみ）     きょうはやすみです   週末はやすみます    やすみが欲しい
１３７．せっけん        　せっけんを使う      せっけんをかう       せっけんであらう
１３８．プール           プールでおよぐ       プールが深い（ふかい）　プールに行く
１３９．並ぶ（ならぶ） 　　くるまが並んでいる 　　ほんが並んでいる      人々がならんでいる（ひとびと）
１４０．毎日（まいにち）   毎日勉強します      毎日コーヒーをのみます 毎日運動します（うんどうします）
１４１．シャワー        シャワーを浴びる      シャワーがこわれた     シャワーを使う（つかう）
１４２．テーブル        テーブルの上にほんがある    テーブルをいどうしました    テーブルをふきます
１４３．遊ぶ（遊ぶ）      公園で遊ぶ（あそぶ）  友達と遊ぶ（ともだちとあそぶ） 　　犬と遊ぶ
１４４．パーティー       パーティーにいきます  パーティーがたのしい      パーティーで踊る（おどる）
１４５．スリッパ        スリッパをはいてください    スリッパがこわれた       あたらしいスリッパを買った
１４６．スポーツ        かれはスポーツがすき      サッカーは人気のスポーツだ   スポーツをするのはたのしい
